Profile data exported by Multi Gauge

Image File : 20200812-221112-[Cy2]tif

	Lane Number
(pixel)	1	2	3	4	5	6	7	8	9	10	11
81.0000	23387.0000	21126.0000	58663.0000	80601.0000	64162.0000	55565.0000	26535.0000	22405.0000	22381.0000	22282.0000	21796.0000
82.0000	24452.0000	21573.0000	63537.0000	93172.0000	73545.0000	62680.0000	27864.0000	22833.0000	21937.0000	21722.0000	21447.0000
83.0000	24929.0000	21573.0000	76700.0000	113631.0000	86256.0000	70130.0000	29758.0000	23898.0000	22172.0000	21860.0000	21684.0000
84.0000	24539.0000	21108.0000	85165.0000	134896.0000	100588.0000	72960.0000	31457.0000	24859.0000	22817.0000	22535.0000	22378.0000
85.0000	23599.0000	20115.0000	87588.0000	145539.0000	111534.0000	71634.0000	32536.0000	25854.0000	23714.0000	23466.0000	23322.0000
86.0000	22237.0000	19361.0000	81496.0000	142609.0000	112106.0000	65271.0000	32612.0000	26135.0000	24564.0000	24330.0000	23815.0000
87.0000	21428.0000	19037.0000	66318.0000	119008.0000	104880.0000	55776.0000	31605.0000	25975.0000	25078.0000	24696.0000	23945.0000
88.0000	21157.0000	19154.0000	54309.0000	93197.0000	84061.0000	50725.0000	29500.0000	25066.0000	25031.0000	24507.0000	23690.0000
89.0000	21336.0000	19542.0000	47496.0000	76932.0000	72817.0000	49777.0000	28015.0000	23937.0000	24095.0000	23677.0000	22925.0000
90.0000	21856.0000	20190.0000	45280.0000	72517.0000	65743.0000	54169.0000	27427.0000	23003.0000	23175.0000	22788.0000	22094.0000
91.0000	22979.0000	20800.0000	48246.0000	74501.0000	68555.0000	63327.0000	28213.0000	22730.0000	22175.0000	21782.0000	21261.0000
92.0000	23863.0000	21342.0000	51531.0000	87250.0000	81114.0000	74265.0000	30536.0000	23240.0000	21966.0000	21399.0000	21171.0000
93.0000	24380.0000	21398.0000	62301.0000	108437.0000	92592.0000	84178.0000	32933.0000	24336.0000	22366.0000	21726.0000	21612.0000
94.0000	24126.0000	21031.0000	69049.0000	130702.0000	111335.0000	89446.0000	35557.0000	25540.0000	23155.0000	22546.0000	22377.0000
95.0000	23250.0000	20069.0000	71776.0000	142287.0000	123817.0000	89497.0000	37404.0000	26716.0000	23993.0000	23459.0000	23157.0000
96.0000	22053.0000	19376.0000	67798.0000	142626.0000	127699.0000	83001.0000	37938.0000	27216.0000	24791.0000	24239.0000	23705.0000
97.0000	21101.0000	18848.0000	56954.0000	126721.0000	120718.0000	68693.0000	36927.0000	27186.0000	25194.0000	24603.0000	23840.0000
98.0000	20616.0000	18856.0000	48520.0000	98116.0000	98450.0000	58176.0000	34080.0000	26330.0000	25219.0000	24486.0000	23647.0000
99.0000	20550.0000	19031.0000	40691.0000	76737.0000	80140.0000	53681.0000	31529.0000	24867.0000	24430.0000	23846.0000	22890.0000
100.0000	20884.0000	19556.0000	37515.0000	66179.0000	69443.0000	55904.0000	29869.0000	23671.0000	23445.0000	22790.0000	22114.0000
101.0000	21786.0000	20209.0000	37795.0000	65255.0000	65771.0000	65504.0000	29858.0000	23135.0000	22170.0000	21749.0000	21154.0000
102.0000	22746.0000	20947.0000	39965.0000	71132.0000	74775.0000	75153.0000	31696.0000	23376.0000	21710.0000	21211.0000	20957.0000
103.0000	23875.0000	21314.0000	46617.0000	85537.0000	85862.0000	90476.0000	34880.0000	24616.0000	21745.0000	21273.0000	21132.0000
104.0000	24097.0000	21263.0000	52765.0000	110345.0000	108341.0000	101162.0000	38485.0000	25902.0000	22521.0000	21946.0000	21719.0000
105.0000	23772.0000	20705.0000	58360.0000	126173.0000	124483.0000	108383.0000	43091.0000	27498.0000	23420.0000	22954.0000	22626.0000
106.0000	22677.0000	20000.0000	58924.0000	138064.0000	138948.0000	107143.0000	45550.0000	28799.0000	24566.0000	23881.0000	23360.0000
107.0000	21740.0000	19152.0000	54251.0000	133411.0000	141746.0000	94274.0000	46239.0000	29566.0000	25295.0000	24533.0000	23803.0000
108.0000	20791.0000	18773.0000	47228.0000	114187.0000	124719.0000	77590.0000	43919.0000	29304.0000	25654.0000	24735.0000	23858.0000
109.0000	20314.0000	18600.0000	40290.0000	89124.0000	104831.0000	62176.0000	40005.0000	28136.0000	25390.0000	24423.0000	23444.0000
110.0000	20116.0000	18804.0000	35515.0000	69878.0000	79289.0000	56826.0000	35061.0000	26155.0000	24557.0000	23633.0000	22735.0000
111.0000	20347.0000	19172.0000	32668.0000	59948.0000	69402.0000	57136.0000	32931.0000	24529.0000	23102.0000	22566.0000	21618.0000
112.0000	20882.0000	19933.0000	31901.0000	57294.0000	63502.0000	62975.0000	32412.0000	23957.0000	22178.0000	21540.0000	20900.0000
113.0000	22056.0000	20577.0000	33594.0000	59383.0000	66256.0000	76951.0000	34108.0000	24213.0000	21712.0000	21158.0000	20737.0000
114.0000	23021.0000	21102.0000	36463.0000	71882.0000	79042.0000	90895.0000	37359.0000	25132.0000	21875.0000	21266.0000	21169.0000
115.0000	23663.0000	21179.0000	42894.0000	89080.0000	97551.0000	109650.0000	42332.0000	26961.0000	22396.0000	21833.0000	21742.0000
116.0000	23637.0000	20889.0000	46612.0000	112566.0000	122899.0000	120559.0000	49371.0000	28996.0000	23327.0000	22688.0000	22383.0000
117.0000	23155.0000	20232.0000	48356.0000	122896.0000	139528.0000	123744.0000	54580.0000	31359.0000	24218.0000	23556.0000	23106.0000
118.0000	22262.0000	19626.0000	47099.0000	123963.0000	145567.0000	113814.0000	56861.0000	32837.0000	25324.0000	24319.0000	23690.0000
119.0000	21398.0000	18972.0000	42932.0000	113715.0000	138760.0000	94636.0000	55682.0000	33004.0000	25933.0000	24890.0000	23866.0000
120.0000	20458.0000	18675.0000	38732.0000	93961.0000	114764.0000	77506.0000	50244.0000	31714.0000	25921.0000	24858.0000	23656.0000
121.0000	19954.0000	18444.0000	34579.0000	79267.0000	97551.0000	62968.0000	44291.0000	29382.0000	24973.0000	24115.0000	22833.0000
122.0000	19748.0000	18615.0000	30967.0000	61201.0000	75579.0000	57243.0000	38808.0000	27009.0000	23935.0000	22978.0000	21846.0000
123.0000	19984.0000	18970.0000	28298.0000	51672.0000	65270.0000	56782.0000	36547.0000	25295.0000	22653.0000	21755.0000	20836.0000
124.0000	20455.0000	19647.0000	27951.0000	48650.0000	59103.0000	64533.0000	35511.0000	24659.0000	22073.0000	21027.0000	20424.0000
125.0000	21549.0000	20270.0000	29165.0000	49773.0000	60737.0000	76338.0000	36627.0000	24877.0000	21778.0000	20883.0000	20354.0000
126.0000	22420.0000	20806.0000	31420.0000	60958.0000	74645.0000	90632.0000	40945.0000	26043.0000	21926.0000	21132.0000	20735.0000
127.0000	23028.0000	20973.0000	35891.0000	76184.0000	91810.0000	116482.0000	48817.0000	28754.0000	22356.0000	21497.0000	21274.0000
128.0000	23198.0000	20902.0000	38305.0000	95538.0000	117756.0000	129242.0000	57997.0000	31965.0000	23358.0000	22250.0000	22053.0000
129.0000	23073.0000	20430.0000	39707.0000	105206.0000	136839.0000	133533.0000	65819.0000	35550.0000	24689.0000	23354.0000	22902.0000
130.0000	22410.0000	19912.0000	39524.0000	107459.0000	142149.0000	124835.0000	69231.0000	37719.0000	25894.0000	24368.0000	23607.0000
131.0000	21611.0000	19333.0000	37863.0000	101970.0000	139806.0000	108306.0000	68220.0000	38251.0000	26473.0000	24930.0000	23805.0000
132.0000	20537.0000	18906.0000	35187.0000	92036.0000	122430.0000	93858.0000	63422.0000	36698.0000	26491.0000	24824.0000	23510.0000
133.0000	19884.0000	18417.0000	31199.0000	80017.0000	111282.0000	75544.0000	55743.0000	33929.0000	25609.0000	24036.0000	22729.0000
134.0000	19494.0000	18338.0000	28282.0000	63658.0000	87006.0000	62161.0000	48753.0000	31448.0000	24798.0000	22998.0000	21842.0000
135.0000	19491.0000	18474.0000	25025.0000	48352.0000	70321.0000	55039.0000	44216.0000	28731.0000	23480.0000	22105.0000	20880.0000
136.0000	19791.0000	18877.0000	24071.0000	41542.0000	57394.0000	54370.0000	39569.0000	26668.0000	22779.0000	21307.0000	20458.0000
137.0000	20485.0000	19361.0000	24468.0000	41187.0000	52670.0000	62307.0000	38338.0000	25854.0000	22205.0000	20947.0000	20264.0000
138.0000	21158.0000	20003.0000	25550.0000	45055.0000	58828.0000	76461.0000	41011.0000	26164.0000	22040.0000	20852.0000	20364.0000
139.0000	22004.0000	20422.0000	27903.0000	54959.0000	69598.0000	101082.0000	48608.0000	28692.0000	22268.0000	21032.0000	20687.0000
140.0000	22572.0000	20743.0000	29580.0000	67006.0000	90015.0000	118002.0000	58868.0000	31859.0000	23163.0000	21620.0000	21325.0000
141.0000	22988.0000	20772.0000	31431.0000	77131.0000	107859.0000	131427.0000	68882.0000	37842.0000	24342.0000	22647.0000	22157.0000
142.0000	22987.0000	20642.0000	32400.0000	86264.0000	123415.0000	134642.0000	76869.0000	41313.0000	25647.0000	23743.0000	22948.0000
143.0000	22608.0000	20106.0000	32683.0000	89292.0000	132044.0000	131522.0000	81101.0000	44161.0000	26765.0000	24650.0000	23485.0000
144.0000	21677.0000	19565.0000	31913.0000	88336.0000	130932.0000	122974.0000	81559.0000	44653.0000	27476.0000	24984.0000	23552.0000
145.0000	20763.0000	18742.0000	29064.0000	81323.0000	125275.0000	103352.0000	78308.0000	43844.0000	27543.0000	24860.0000	23322.0000
146.0000	19799.0000	18332.0000	26504.0000	69108.0000	107084.0000	81558.0000	70196.0000	41320.0000	27241.0000	24351.0000	22829.0000
147.0000	19414.0000	18065.0000	23955.0000	54765.0000	88457.0000	62369.0000	60937.0000	37281.0000	26221.0000	23731.0000	22150.0000
148.0000	19216.0000	18082.0000	22479.0000	42034.0000	62757.0000	51090.0000	49435.0000	32985.0000	25223.0000	22761.0000	21557.0000
149.0000	19266.0000	18261.0000	21429.0000	35002.0000	50268.0000	47308.0000	41800.0000	28798.0000	23735.0000	22048.0000	20862.0000
150.0000	19421.0000	18574.0000	21236.0000	32768.0000	44048.0000	50122.0000	39112.0000	26944.0000	22775.0000	21390.0000	20561.0000
151.0000	19941.0000	18929.0000	21693.0000	32929.0000	44320.0000	59481.0000	39344.0000	26723.0000	22191.0000	21036.0000	20438.0000
152.0000	20468.0000	19577.0000	22458.0000	35697.0000	51155.0000	71270.0000	43372.0000	27963.0000	22264.0000	21038.0000	20522.0000
153.0000	21440.0000	20068.0000	23726.0000	40131.0000	57923.0000	88195.0000	50455.0000	31391.0000	22776.0000	21561.0000	20887.0000
154.0000	22031.0000	20449.0000	25261.0000	49873.0000	72216.0000	100018.0000	57776.0000	35288.0000	23775.0000	22271.0000	21537.0000
155.0000	22416.0000	20523.0000	26842.0000	57849.0000	86825.0000	115219.0000	69086.0000	40670.0000	25108.0000	23214.0000	22414.0000
